Title,Developer,Source,O button icon,O button confirmation
SUPER ROBOT WARS Y,Bandai Namco Forge Digitals,Steam,Auto,Manual
Persona 5 Royal,ATLUS,Steam,Auto,Manual
STAR OCEAN THE SECOND STORY R,Square Enix,Steam Demo,Auto,Manual
FINAL FANTASY VII,Square Enix,Steam,Auto,Manual
Heavy Rain,Quantic Dream,Steam,Auto,No
DEATH STRANDING DIRECTOR'S CUT,KOJIMA PRODUCTIONS,Epic Games,Manual,Manual
Cuphead,Studio MDHR,Steam,Auto,No
Street Fighter™ 6,CAPCOM,Steam,Manual,No
Onimusha: Warlords,CAPCOM,Steam,No,No
ARMORED CORE™ VI FIRES OF RUBICON™,FromSoftware,Steam,Auto,No
Tales of ARISE,Bandai Namco Studio,Steam Demo,Auto,Auto
Teenage Mutant Ninja Turtles: Shredder's Revenge,Tribute Games,Steam,Auto,Auto
MARVEL Cosmic Invasion,Tribute Games,Steam,Auto,Auto
